,시도교육청,자료명,"파일명(활동명, 자료제목)",자료유형,활동 유형,학교급,시간(차시),과목명,환경교육역량,장소,환경주제,SDGs목표,교수학습방법,성취기준
1,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_1,참고자료,교육과정 연계,초등학교(5~6),,"과학, 도덕","창의적 문제해결 역량, 환경감수성",일반교실,자연환경,깨끗한 물과 위생,"해설, 조사","[6과05-03] 생태계 보전의 필요성을 인식하고 생태계 복원을 위한 노력을 다각도로 탐구한다. 
[6도03-04] 다른 나라 사람들이 처한 여러 가지 상황을 종합적으로 이해하고 해결 방안을 탐구하며 인류애를 기른다."
2,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_2,참고자료,교육과정 연계,초등학교(5~6),,"과학, 실과","시스템 사고, 환경 정보 활용 능력",일반교실,지구환경,지속가능한 에너지,"해설, 실험과 실험과 실습","[6과15-02] 여러 가지 기구에서 에너지가 전환되는 과정을 관찰하고 에너지를 효율적으로 사용하는 예를 찾는다. 
[6실05-03] 생활 속의 자원을 아끼고 환경오염을 줄이는 실천 방안을 조사하여 생활화한다."
3,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_3,참고자료,교육과정 연계,초등학교(5~6),,"사회, 실과","창의적 문제해결 역량, 환경감수성",일반교실,생활환경,지속가능한 생산과 소비,"조사, 실험과 실습","[6사12-03] 지속 가능한 미래를 위한 시민의 역할을 이해하고, 일상생활 속에서 환경 보호를 실천하는 태도를 기른다. 
[6실02-10] 생활 속의 자원을 아끼고 환경오염을 줄이는 실천 방안을 조사하여 생활화한다."
4,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_4,참고자료,교육과정 연계,초등학교(5~6),,"사회, 과학","시스템 사고, 협동과공동체 역량",일반교실,지구환경,기후변화,"토의와 토론, 프로젝트","[6사12-01] 지구 온난화로 인한 기후 변화의 원인을 파악하고, 이것이 생태계와 우리 삶에 미치는 영향을 탐구한다. 
[6과11-01] 지구 온난화의 원인을 이해하고 이를 줄이기 위한 노력을 다각도로 모색한다."
5,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_5,교사용 수업 지도안,교육과정 연계,초등학교(5~6),,"미술, 국어, 과학","창의적 문제해결 역량, 협동과공동체 역량",일반교실,자연환경,해양생태계,"프로젝트, 창작","[6미02-01] 다양한 방법으로 아이디어를 연결하여 확장된 표현 주제로 발전시킬 수 있다.
[6국03-03] 타당한 근거를 들어 주장하는 글을 쓴다. [6과05-03] 생태계 보전의 필요성을 인식하고 생태계 복원을 위한 노력을 다각도로 탐구한다."
6,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_6,교사용 수업 지도안,교육과정 연계,"초등학교(1~2), 초등학교(3~4)",,"기타, 과학",환경감수성,일반교실,자연환경,육상생태계,"놀이, 관찰","[2슬01-01] 학교와 학교 주변에서 만나는 친구, 선생님, 다양한 생명체를 소중히 여긴다. (※ 자료 내 활동인 '거미', '나무' 관련 1~2학년 통합교과 추정치)"
7,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_7,계기교육자료,교육과정 연계,초등학교전체,,기타,환경감수성,일반교실,지구환경,목표를 위한 파트너십,해설,(K-SDGs 17개 목표 전체를 안내하는 인포그래픽 자료로 특정 성취기준 없음)
8,서울,2025 생태전환교육 수업 도움자료,서울_2025 생태전환경교육 수업 도움자료(초등)_8,학생용 활동지,교육과정 연계,초등학교전체,,"국어, 기타",환경감수성,일반교실,지구환경,기후변화,"해설, 토의와 토론",(그림책 읽기 및 영상 시청 자료로 특정 성취기준 없음)
9,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_1,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,기타,환경감수성,일반교실,자연환경,육상생태계,"해설, 조사","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다. 
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다."
10,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_2,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,기타,"환경감수성, 환경 정보 활용 능력","학교밖, 일반교실",자연환경,육상생태계,"관찰, 창작","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다.
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다. 
[2즐01-04] 우리를 둘러싼 자연의 아름다움을 감상한다."
11,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_3,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,"기타, 국어","환경감수성, 창의적 문제해결 역량",일반교실,"자연환경, 생활환경",해양생태계,"놀이, 토의와 토론, 창작","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다. 
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다. 
[2즐01-04] 우리를 둘러싼 자연의 아름다움을 감상한다. 
[2바04-04] 지금까지의 생활습관과 학습습관을 되돌아본다.
[2국01-03] 상대의 말을 집중하여 듣고 말차례를 지키며 대화한다.
[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다."
12,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_4,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,"기타, 국어","협동과공동체 역량, 창의적 문제해결 역량",일반교실,생활환경,지속가능한 생산과 소비,"놀이, 토의와 토론","[2바04-04] 지금까지의 생활습관과 학습습관을 되돌아본다. 
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2바04-01] 모두를 위한 생활환경을 만드는 데 참여한다. 
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다. 
[2국01-03] 상대의 말을 집중하여 듣고 말차례를 지키며 대화한다. 
[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다."
13,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_5,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,"국어, 기타","환경감수성, 창의적 문제해결 역량",일반교실,지구환경,기후변화,"놀이, 토의와 토론","[2국05-02] 작품을 듣거나 읽으면서 느끼거나 생각한 점을 말한다.
[2바02-01] 공동체에서 내가 할 수 있는 일을 찾아보고 실천한다. 
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다.
[2즐04-03] 생각이나 느낌을 살려 전시나 공연 활동을 한다."
14,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_6,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,기타,"환경 정보 활용 능력, 창의적 문제해결 역량",일반교실,"생활환경, 지구환경","빈곤퇴치, 건강한 삶과 웰빙","조사, 토의와 토론","[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다. 
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다. 
[2즐03-04] 안전과 안녕을 위한 아동의 권리가 있음을 알고 누린다."
15,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_7,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,기타,"시스템 사고, 환경감수성",일반교실,"지구환경, 생활환경",지속가능한 에너지,"조사, 토의와 토론","[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다. 
[2슬04-03] 경험한 것 중에서 관심 있는 주제를 정하고 조사한다. 
[2슬03-01] 하루의 변화와 사람들이 하루를 살아가는 모습을 탐색한다. 
[2슬02-01] 우리가 살고 있는 마을과 사람들이 생활하는 모습을 살펴본다."
16,서울,2025 생태전환교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (교사용)_8,교사용 수업 지도안,교육과정 연계,초등학교(1~2),1,"국어, 기타","협동과공동체 역량, 환경감수성",일반교실,"지구환경, 생활환경","지속가능한 생산과 소비, 기후변화",놀이,"[2국01-04] 자신의 경험이나 생각을 바른 자세로 발표한다. 
[2국03-04] 겪은 일을 표현하는 글을 자유롭게 쓰고, 쓴 글을 함께 읽고 생각이나 느낌을 나눈다. 
[2바01-01] 학교생활 습관과 학습 습관을 형성하여 안전하고 건강하게 생활한다. 
[2바03-04] 공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
[2슬03-04] 우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다. 
[2즐04-03] 생각이나 느낌을 살려 전시나 공연 활동을 한다."
17,서울,2025 지속 가능한 미래를 여는 생태 전환 교육(초1~2),서울_2025 지속 가능한 미래를 여는 생태 전환 교육 (학생용)_1,학생용 활동지,교육과정 연계,초등학교(1~2),,기타,"환경감수성, 생태 감수성",일반교실,자연환경,육상생태계,"조사, 창작","[2바01-04] 생태환경에서 더불어 살기 위해 노력한다. 
[2슬01-04] 사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다."
